W,G,EFG,EFGD,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,YEAR,TEAM
14,34,45.5,51.4,22.6,22.5,33.7,33.9,41.9,40.1,44.8,50.3,31.7,35.8,70.7,2008,Jackson St.
24,35,52,49.5,18.6,19.6,39.1,31.1,30,34.3,50.4,48.2,36.7,34.4,69.6,2008,Mississippi
14,30,46.3,52.4,20.5,24.3,32.5,29.4,35,36.9,42.6,51.5,35.3,35.9,67.3,2008,TCU
15,30,49,49.4,21.5,19,36.5,25.3,36.1,41,47.7,46.8,34.5,36,63.6,2008,Albany
12,30,49.3,48.5,24.4,17,29.6,30.7,45.1,35.9,50.3,47,31.6,34.2,68.8,2008,Wyoming
23,32,52,49.8,21,26.8,27.6,33.8,34.6,42.2,47.3,51.5,40.7,31.3,65.4,2008,UC Santa Barbara
20,34,50.2,48.5,21.6,25.1,36,33.9,35,39.5,47.5,47.4,36.7,33.6,65.6,2008,Minnesota
16,35,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,49.2,43.3,31.9,33.5,61.6,2008,Illinois
15,30,46.1,49.7,18.6,20.2,35.3,30.4,39.2,28,44.7,50.9,32.3,31.5,69.2,2008,LIU
26,35,53.7,46.7,17,21.9,27.8,29.8,38.5,28.4,53,45.3,36.8,33.1,58.3,2008,Washington St.
11,29,44.2,46,21.1,19.2,29.4,31.1,30.1,39.1,43.1,44.8,31.1,32.6,63.0,2008,Arkansas Pine Bluff
23,33,54.4,50.6,21.5,22.1,34.1,31.7,37.8,34.9,50.8,49.7,39.7,34.8,66.4,2008,Portland St.
19,33,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49,48.5,47.3,33,35.4,71.5,2008,UTEP
25,33,52.3,47.3,20,19.8,36.1,29.1,41.9,31,52.3,45.1,34.9,34.1,66.8,2008,Indiana
31,38,51.5,45.7,14.2,17.9,36.3,33.6,32,31,48.5,43.2,38,33.2,63.0,2008,Texas
17,33,51,52.8,19.6,18.7,33.4,34.4,33.6,28.4,50.7,53.1,34.3,34.9,68.9,2008,Tennessee Martin
12,31,44.5,51,19.8,21.1,33.7,33.2,32.2,35.9,45.4,48.4,28.2,37.2,60.4,2008,Loyola Chicago
12,31,48.8,48.1,24.8,21.9,29.8,33.1,36.2,40.9,47.7,48.1,33.7,32.1,62.4,2008,Bucknell
14,31,49.2,51.4,22.6,24.6,35,36,38.8,60.5,48.4,50.9,33.7,35.3,67.6,2008,Central Michigan
23,34,52.2,42.5,21.4,17.8,34.7,32.7,39,28,53.3,39.8,33.4,31.7,66.8,2008,Mississippi St.
19,29,55.8,51.2,20.5,20.2,24.3,30.3,47.1,25.9,52.1,49.9,40.8,35.5,61.4,2008,Brown
10,31,49.3,53.7,21.9,22,27.5,36.1,37.9,46.7,45.7,53.2,37.7,36.4,67.7,2008,Centenary
21,31,51.9,48.2,20.5,20,30,30.5,35.2,29.6,48.4,45.2,38.8,35.1,59.6,2008,Wright St.
25,39,50.4,46,22.8,18.1,36.4,29.5,38,31.5,49,44.6,35.3,32.8,64.4,2008,Tulsa
4,32,39.4,53.4,22.2,22.6,34.5,39.3,37.8,40.7,39.2,51.4,26.6,38.3,68.1,2008,Maryland Eastern Shore
12,30,46.6,51.2,20.7,20,31.9,33,42.4,49.5,44.2,49.9,35.2,36,66.2,2008,Western Illinois
37,40,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31,55.4,41.2,39.7,32.8,67.0,2008,Kansas
18,34,51.7,53.4,19.7,22.6,26.6,28.1,34,37.5,50,52.3,36.5,36.8,63.0,2008,UC Irvine
25,33,52.2,46.6,18.3,17.5,36.2,30.7,34,23,47.8,44.8,40.5,33.5,68.9,2008,Notre Dame
8,28,49.1,52.9,20.1,17.1,27.4,37.6,37.2,28.3,46.2,49.6,35.5,40.6,67.3,2008,Fairleigh Dickinson
22,28,55.4,49.1,19.9,20.9,28.6,31.3,33.8,34.6,52.5,46.3,40.4,36.5,68.1,2008,Cornell
24,33,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,67.3,2008,Connecticut
13,31,48.3,47.8,20.3,19.5,32,35.7,29.3,28,48.4,46.1,32.2,34.3,66.1,2008,LSU
26,37,51.4,48,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36,35.8,63.9,2008,West Virginia
18,34,53.3,52.7,21.4,23.3,25.8,37.6,38.4,34.3,50.2,48.1,38.1,39.5,67.0,2008,Hartford
23,34,52.2,46.8,20.4,19.8,32.2,30.6,39,37.1,49.9,45.1,37.5,33.6,67.2,2008,UAB
5,31,45.1,55.3,25.6,20.6,28.1,33.4,37.1,40.7,43.7,54.7,32,37.7,69.0,2008,Loyola Marymount
31,36,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,61.4,2008,Wisconsin
18,33,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,47,47.3,34,34.7,61.1,2008,Southern Illinois
17,32,48.9,46.9,22.5,20.4,31.4,35.9,43.5,37.8,48.8,45.1,32.7,33.5,63.8,2008,Tulane
20,33,49.1,50.5,20.9,23.1,32.8,28,36.6,33,48.9,49.3,33,35.2,64.4,2008,San Diego St.
27,36,52.6,46,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,63.6,2008,Michigan St.
23,32,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37,72.5,2008,Cal St. Fullerton
27,35,53.2,43.2,20.1,19.7,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,68.5,2008,BYU
15,29,52.1,50.7,21,21,32.7,34.1,31.7,34,49.6,49.1,37.5,35.5,61.1,2008,Utah Valley
18,33,50.3,48.2,19.9,20,31.3,30.8,32.6,26.7,46.5,46,38.5,34.6,65.8,2008,Illinois Chicago
12,30,43.8,48.7,23.8,23.6,33.4,37.1,35,36.3,43.8,50.1,29.2,30.7,65.9,2008,Winston Salem St.
9,30,45.9,53.1,24.7,21.1,31.7,27.7,39.8,43.8,46.2,51.1,30,37.6,62.1,2008,UC Riverside
11,30,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,47.4,49.5,35.8,40.8,66.2,2008,DePaul
16,32,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,70.8,2008,Missouri
30,37,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,64.1,2008,Xavier
24,34,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49,37.5,30.4,67.9,2008,Clemson
26,33,53.9,48.4,20.6,20.4,37.9,30.5,46,31,53.3,47.3,36.8,33.5,65.0,2008,South Alabama
18,31,53.8,54.6,19,22.6,27.6,34.3,40.2,34.5,50.4,55.8,39.6,34.8,62.7,2008,UT Rio Grande Valley
14,30,51.8,52,21.8,20.3,36.3,33.4,28.9,22.4,50.9,50,35.7,37.1,62.9,2008,Central Connecticut
13,28,50.1,52.4,19.6,17.7,29.6,33.1,29.6,27.4,47.3,50.2,36,37.1,64.0,2008,Coastal Carolina
20,34,47.1,49,20.6,24.3,33.3,32.9,41.7,41.2,44,47.4,34.4,34.2,67.2,2008,Charlotte
10,27,49.9,53.2,22.6,20.6,31.5,38.3,29.7,36.5,48.6,49.8,34.8,40.3,71.7,2008,Chicago St.
6,31,46.4,50.1,24.2,18.1,34.2,37.5,27.9,40.5,43.7,48.1,33.7,35.8,64.3,2008,Canisius
13,32,47.1,49.2,21.2,18.1,35.3,29.1,32.8,46.1,45.9,48.5,32.8,33.7,63.8,2008,Cincinnati
8,29,48.4,51,23.4,17,36,31.7,37.1,40.7,48,47.2,33,41.5,64.7,2008,South Dakota St.
15,30,50.7,52.3,20.3,20.1,32.4,30.2,37.6,44.2,48.8,51.2,36,36.3,66.5,2008,Montana St.
16,32,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,48.8,48.2,34.1,36.2,65.1,2008,Oklahoma St.
14,31,47.3,50.2,21.6,22.4,31,31.8,32.8,42,45.4,50.6,33.3,33,63.4,2008,Boston University
15,31,50.4,51.4,25.2,19.9,31.6,33.6,42.1,31.6,50.7,53.5,33.3,32.2,68.0,2008,North Carolina A&T
14,31,46.7,49.5,20.7,22,34.8,33.1,36.4,34.1,46.6,49,31.3,33.8,61.9,2008,Northeastern
16,33,50,51.2,19.8,21.5,40.6,29.9,34.2,39.7,49,48.8,35.1,37.5,68.6,2008,Washington
20,32,49.7,46.7,22,19.4,36.1,29.4,47.6,41.5,47,45.3,36.1,32.9,64.3,2008,Western Michigan
16,31,50.2,51,20.5,22.6,26.3,33,47.6,34.8,48.4,48.8,36.7,36.8,68.3,2008,Texas Tech
7,31,48.3,52.3,20.6,16.5,26.3,35,28.3,35.2,47.7,50.9,33,36.6,63.9,2008,Colorado St.
17,30,48.3,49.1,20.2,24.7,33.9,33.8,34,36.8,49.2,47.1,31.1,35.1,69.0,2008,Wake Forest
12,31,48.7,54.2,17.8,22,27.4,38,31.6,27.8,45.5,53.8,34.7,36.5,71.0,2008,Troy
16,32,49.2,52.9,19.4,17.3,31.9,32,38.4,32.2,45.1,52.3,37.5,36.1,61.7,2008,Wofford
26,34,53,50,23.3,26.1,35.2,31.8,27.7,39.1,51.2,52,37.5,31.2,69.0,2008,Robert Morris
15,33,51.1,51.6,22.8,19.8,30.8,29.5,53.4,37.5,49,50.2,37.4,35.9,69.0,2008,Florida Atlantic
25,33,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,53.7,43.8,37.5,32.7,66.7,2008,Gonzaga
11,30,45.8,49.5,22.9,21.5,32.7,30.6,35,40.3,44.1,48.6,33.3,34.3,64.4,2008,St. John's
24,33,51.9,50.8,14.5,18.9,31.8,33.6,33.5,28.4,49,49,38.4,36.1,64.4,2008,UMBC
12,30,45.8,52,19.9,21.5,28.9,31.1,33.2,38.6,48.1,48.5,28,38.8,65.3,2008,Cal Poly
10,31,49.3,52.8,23.3,20,31.4,37.8,40.3,38.7,47.7,50.6,34.2,38.2,66.2,2008,Louisiana Monroe
12,31,48.8,48.7,20.2,18.4,35.9,33.8,43,33.9,48.5,46.8,33,35.2,63.9,2008,South Florida
22,35,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,47.8,48.6,34.4,36.5,67.7,2008,Villanova
13,31,47,50.4,17.6,20.6,28.7,32.6,30,36.3,45.5,48.4,32.9,35.9,65.3,2008,Towson
12,28,48.3,54.4,19.2,22.1,31.8,36.6,25.8,36.1,46.6,55.4,34,35,55.8,2008,Delaware St.
14,30,48,48.8,24.4,26.8,27.6,33,30,43.4,48.5,46.4,31.3,34.6,63.3,2008,Army
12,31,50.2,51.2,23.5,20,32.9,34,39.5,43.9,49.5,48.9,34.5,36.7,74.9,2008,Southeast Missouri St.
23,31,49.2,47.1,21.8,19.9,36.6,30.4,36.2,34.2,50.2,46,31.3,32.6,68.0,2008,Wagner
18,32,51.7,47.4,20.9,18.7,33.5,32.7,36,36.9,48.6,46.1,37.8,33.5,63.7,2008,Marist
11,30,45.4,52,24,25.5,29.8,37.9,37.6,32.4,45.3,52.5,30.3,34.1,64.5,2008,Toledo
7,29,46.1,53,22.7,22.5,34.5,30.5,32.4,34.1,46,52.9,30.8,35.6,68.1,2008,St. Francis NY
11,30,53.7,50.9,25.1,22.6,22.3,35,38.1,40.4,55,50.4,34.7,34.8,55.7,2008,Denver
20,30,52.2,47.8,21.5,24.5,31.8,31.5,32.6,51.1,50.3,48.8,37.3,30.8,72.4,2008,Cal St. Northridge
9,29,47.1,52.8,19.7,22.1,30.3,30.6,33.5,39.1,39.7,49.6,37.3,39.3,65.5,2008,New Hampshire
20,33,53.7,49.7,22.4,18,33.9,31.9,32.5,31.9,53.3,48.7,36.2,34.4,67.2,2008,UNC Wilmington
12,30,48,47.1,23.6,18.9,33.9,30.6,35,38.7,47.3,45.6,33.3,33.4,67.3,2008,Hofstra
12,29,48.7,50.9,20.2,20.7,31,34.1,36.1,34,48.9,50,32.2,35.5,61.9,2008,Fordham
10,28,45.7,53.1,21.4,21.7,31.3,33.1,27.3,41.1,45.5,53.2,31,35.2,65.0,2008,Dartmouth
30,34,54.1,48,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38,31.8,59.5,2008,Butler
11,30,50.4,53.9,23.8,21.9,35,30.9,46.1,42.4,51,51.2,32.2,39.5,65.1,2008,Southern Utah
19,34,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,50.9,42.6,33.8,32.4,69.4,2008,Maryland
9,30,46.8,52.5,22,21.4,28.8,32.4,38.4,39.3,42.6,51.1,38.9,36.5,63.1,2008,Evansville
23,34,54.8,49.1,20.6,20.3,34.5,30.7,38.2,30.6,52.8,47.5,39.6,34.4,68.8,2008,Rider
15,31,51.1,47.3,23.3,16.5,30.3,35.4,47.4,26.6,50.8,44.6,34.6,36.3,62.9,2008,N.C. State
11,32,48.5,49.2,25.4,23.4,31.6,38.7,42,38.8,47.9,49.7,33.5,32.2,58.0,2008,Bethune Cookman
14,31,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,49.6,48.5,36,34.6,64.4,2008,Boston College
19,34,53.9,48.7,18.6,19,27.8,33.4,40.4,30.4,51.2,47.5,39.6,34.5,63.6,2008,Arizona
15,31,48.3,51.9,19.7,20.7,36.3,32.6,32.1,29.1,46.7,50.8,34,35.7,63.8,2008,Penn St.
14,31,47.2,51.8,22.2,22.7,28.8,36.3,31.5,33,44.4,52.4,34.6,33.8,66.5,2008,Florida A&M
28,34,56.7,41.9,21.3,19.8,33.1,32.7,34,36,56.2,40.5,38.4,29.6,61.3,2008,Georgetown
27,37,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,63.6,2008,Pittsburgh
15,30,47.7,47.9,22.2,23.3,33.9,37.3,38.8,45,46,46.2,33.6,35.2,63.8,2008,Louisiana
25,34,57.1,50.3,21.2,19.5,30.4,29.4,39.7,33.6,56.2,49.1,39.2,35.2,71.2,2008,Boise St.
22,36,49.4,49,22.1,23.4,32.1,30.5,35.7,33.7,48.8,48.3,33.9,33.7,63.6,2008,San Diego
17,32,51.6,51.7,22,20.5,29.9,31,41.4,46.4,50.5,51.3,36.1,34.9,62.4,2008,Middle Tennessee
18,32,55.8,50.3,18.4,16.4,32,31,36.7,34.3,53.8,50.4,39.2,33.4,66.3,2008,Oregon
7,29,51,55.6,23.8,20.5,22.5,37.1,34.1,31.9,50,56.4,34.9,36.1,62.9,2008,UC Davis
7,30,47.3,52.9,21.8,19,25.8,32.7,29.4,28.8,45.5,52.7,33.2,35.5,64.6,2008,Furman
25,36,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,74.6,2008,Massachusetts
15,32,51.1,51.9,22.5,19.4,36,31.1,37.3,33.5,46.7,51.8,39.6,34.7,68.9,2008,La Salle
11,30,48.6,50.5,21.2,19.8,31.8,39.8,40.8,42.8,43.1,49,38.3,36.2,65.5,2008,East Carolina
25,36,52,44.9,19.2,17.4,35,28.1,41.8,26.7,51.2,42.2,35.7,33.8,62.1,2008,Texas A&M
19,34,49.8,47.2,20.8,21.5,29.8,33.4,38.7,38,47.9,46.7,36.1,32.2,65.9,2008,Mount St. Mary's
21,35,52.7,49.2,21.8,20,39,32.6,42,29.5,53.3,46.8,34.1,35.4,70.2,2008,Syracuse
7,29,51.1,52.7,20.7,20.2,29,37.9,32.8,39.9,47.6,52.4,37.7,35.6,68.0,2008,Jacksonville St.
8,30,51.5,56.8,18.5,24.4,20.6,37.9,23.8,39.3,49,55.8,36.4,38.8,61.3,2008,Northwestern
13,29,46.1,45.8,25.9,18.3,36.3,31.5,34.1,41,44.9,42.4,32.5,35.2,65.5,2008,McNeese St.
6,28,46.4,52.6,25.7,20.6,34.5,33.1,36.5,44.9,47.2,48,29.8,40.3,70.4,2008,Northern Illinois
15,30,51.2,50.9,21.1,17.5,35.7,29.3,33.4,37.2,48.5,49.1,39.2,36.3,66.8,2008,Quinnipiac
13,32,48.4,49.1,17,19.5,23.4,29.3,29,30.3,46.6,48.2,34,34.1,67.2,2008,Fresno St.
24,36,55.3,50,18.6,19.8,35.6,30,31.2,29.1,55.7,49.5,36.3,34,64.8,2008,Florida
21,33,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,51.2,47.5,38,35.3,70.3,2008,Rhode Island
21,34,54.6,50.6,19.3,21.5,32.5,34,39.7,33.3,52.8,47.7,38.6,37,63.7,2008,Saint Joseph's
21,32,51.9,48.3,17.2,19.4,32,32.9,35.9,39.5,49.6,46.5,37.3,35.1,70.0,2008,Baylor
25,32,52.4,44.8,19.5,21.6,35.5,31.4,39,30.7,51.6,44.1,35.8,31.3,66.7,2008,Saint Mary's
24,33,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,64.0,2008,Oral Roberts
15,29,52.1,48.8,21,19.9,33.3,33.2,26.6,35.4,50.4,47.4,36.5,34.5,62.0,2008,High Point
23,31,47.7,44.4,22.7,22.6,33.9,27.9,39,38,48.1,43.3,31.3,31.3,67.1,2008,Sam Houston St.
19,32,50.9,51.2,21.4,23.6,33.8,37.2,36.3,37.7,50,50.2,35.1,34.9,71.1,2008,East Tennessee St.
7,29,49.2,52.2,22.8,18.4,32.1,32.1,32.2,41.3,46.3,47.5,37.6,39.5,61.7,2008,Eastern Illinois
14,29,48.8,48.5,21.9,19.2,28.7,29.5,34.5,40.8,48.2,49.9,33,30.8,62.2,2008,Columbia
10,30,45.7,50.1,22.4,22.4,37.6,33.9,30.7,49.6,44.7,49.9,32.2,33.8,71.5,2008,Buffalo
9,29,46.4,48,27.1,19.3,39.6,34.1,40.8,45.2,48,44.3,28.8,36.6,64.1,2008,Texas A&M Corpus Chris
11,32,48,54,20.6,22.2,30.6,34.4,35.3,51.2,41.6,51,37.8,40,66.1,2008,UMKC
28,33,52.6,50.4,18,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,62.8,2008,Drake
21,33,53,47.5,20,17.4,32.7,32.4,36.9,32.1,52.4,44.9,36.3,36,67.2,2008,Nevada
24,37,52.5,45.4,20.4,21.4,33.3,35.6,28.2,22.1,53.6,43.6,33.7,32,64.2,2008,Ohio St.
