W,G,EFG,EFGD,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,YEAR,TEAM
22,31,50.6,47.5,17.7,16.5,29.8,26.2,37.5,37.4,50.5,44.6,33.8,36.1,60.3,2011,American
10,33,48.0,55.8,20.8,18.2,28.3,33.6,34.9,24.5,46.8,54.8,33.6,38.0,72.6,2020,Samford
6,30,46.4,50.6,24.3,17.9,35.8,31.5,30.7,35.4,46.3,48.9,30.9,36.4,64.2,2011,Illinois Chicago
12,29,49.0,53.0,18.6,19.6,32.0,25.4,36.0,39.2,47.4,50.3,34.2,38.3,64.7,2012,Boise St.
18,33,49.4,46.2,20.7,18.1,33.3,30.2,38.5,35.6,48.2,44.2,34.4,34.3,64.1,2012,Tennessee
16,26,53.9,48.2,20.3,20.8,30.6,28.6,34.6,37.6,49.9,47.0,41.0,34.2,59.3,2013,Princeton
8,28,43.9,45.8,18.6,18.8,28.1,30.5,34.7,36.3,42.9,47.5,30.5,27.9,63.0,2013,New Hampshire
15,26,49.1,49.2,19.8,17.2,31.4,28.0,46.4,36.7,47.4,47.4,35.1,35.1,65.7,2011,Utah Valley
4,30,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33.0,45.0,49.6,32.6,36.1,64.4,2015,UMBC
14,31,45.7,47.6,18.7,18.1,30.9,31.6,42.1,40.9,45.0,46.5,31.6,33.3,60.5,2014,Saint Peter's
18,34,55.2,48.7,21.4,15.7,36.4,28.0,34.1,36.8,54.1,47.7,38.0,33.7,68.3,2017,Indiana
11,25,51.3,49.8,16.9,19.9,24.8,24.7,21.4,39.9,51.5,50.1,34.0,32.6,68.3,2021,San Francisco
19,33,48.3,49.8,19.2,20.2,40.9,30.1,38.6,31.2,49.9,50.4,29.8,32.3,64.3,2012,West Virginia
22,38,56.2,52.9,17.1,13.9,21.9,24.6,30.8,30.1,55.6,50.7,37.9,38.2,69.3,2022,Northern Colorado
8,28,48.0,54.8,22.2,18.2,26.9,37.5,36.5,41.2,49.1,52.8,30.8,39.2,65.7,2012,Nicholls St.
12,31,49.5,52.5,18.5,21.7,31.4,38.8,26.4,40.9,49.2,52.3,33.5,35.4,71.6,2012,DePaul
12,33,49.3,57.9,17.2,19.7,28.0,35.4,32.8,40.9,47.8,57.7,33.9,38.9,80.4,2017,The Citadel
30,37,50.8,44.2,16.5,18.4,33.9,25.8,42.0,32.5,49.0,42.1,36.9,32.3,59.2,2014,Virginia
19,29,48.9,51.0,16.8,21.0,35.9,31.1,37.9,27.9,46.1,51.5,36.4,33.5,69.2,2021,West Virginia
18,33,47.4,48.7,17.8,20.2,31.3,27.9,36.8,35.7,50.0,48.8,28.0,32.3,67.5,2019,Rhode Island
19,33,51.7,53.3,14.0,18.2,32.1,27.4,32.3,23.8,52.1,52.5,34.0,36.6,69.6,2023,Iowa
11,31,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,71.5,2016,Wake Forest
14,33,46.1,45.9,17.3,16.4,22.5,30.6,35.5,38.0,46.1,45.3,30.6,31.5,60.0,2014,Northwestern
11,31,49.7,52.1,19.8,17.3,34.0,32.3,33.4,32.8,49.2,53.3,33.8,32.8,64.8,2009,South Dakota St.
21,33,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,66.5,2016,Baylor
9,31,48.0,52.2,19.2,19.7,25.3,32.2,32.4,32.5,47.7,52.4,32.6,34.6,67.9,2023,Eastern Illinois
29,40,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,63.9,2014,Kentucky
8,23,52.7,50.3,21.5,16.2,25.8,35.9,25.4,31.8,51.2,50.1,36.2,33.9,67.0,2021,North Florida
22,36,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37.0,67.6,2016,Vermont
23,30,52.5,45.3,18.5,22.1,27.4,31.6,39.5,39.0,50.4,43.3,38.2,33.3,64.5,2012,Montana
7,30,47.7,51.0,23.5,19.1,30.6,34.0,30.7,40.1,45.9,45.1,34.6,39.6,68.8,2017,South Florida
16,26,50.8,48.5,18.7,18.0,28.5,28.8,37.1,36.6,52.0,47.9,32.5,33.1,68.3,2021,Missouri
11,26,46.3,49.6,19.8,19.0,31.9,31.4,42.8,38.0,46.9,48.2,29.9,35.0,66.8,2009,Lamar
29,35,55.0,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34.0,70.1,2017,UNC Wilmington
27,37,52.1,47.5,17.0,19.5,35.9,25.9,32.9,28.0,51.1,43.1,35.9,37.6,63.0,2017,Wisconsin
14,32,49.2,50.1,17.9,19.5,29.7,30.3,37.2,36.8,47.3,50.2,35.4,33.3,66.4,2010,Stanford
8,31,46.8,53.7,22.2,22.3,28.0,34.0,31.4,42.5,47.9,56.1,29.9,32.9,71.8,2020,Southeastern Louisiana
9,30,46.5,49.2,22.5,20.9,31.3,33.3,37.9,32.9,45.3,46.2,32.5,35.5,62.3,2011,Monmouth
9,26,47.0,49.2,19.7,16.5,30.3,31.3,35.5,38.2,47.0,48.8,31.4,33.3,61.4,2014,Louisiana Monroe
11,27,51.1,48.4,20.6,21.5,19.8,31.5,39.4,38.2,51.8,48.4,33.3,32.3,61.2,2012,Air Force
19,29,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,63.4,2013,Harvard
19,31,47.4,47.1,19.1,17.7,35.5,32.9,42.5,32.0,47.8,47.7,31.1,30.7,66.9,2010,Charlotte
12,29,48.8,49.8,19.0,15.2,29.3,33.3,32.7,31.5,47.3,48.4,34.6,35.0,69.8,2018,McNeese St.
26,34,51.6,49.0,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32.0,69.2,2018,St. Bonaventure
15,31,48.3,51.9,19.7,20.7,36.3,32.6,32.1,29.1,46.7,50.8,34.0,35.7,63.8,2008,Penn St.
